Tipo.Titulo,Data.Vencimento,Data.Base,PU.Base.Manha,TempoDeMaduracao
Tesouro Prefixado,2025-01-01,2020-11-03,756,4.164383561643835
Tesouro Prefixado,2025-01-01,2020-11-04,753,4.161643835616438
Tesouro Prefixado,2025-01-01,2020-11-05,756,4.158904109589041
Tesouro Prefixado,2025-01-01,2020-11-06,758,4.156164383561644
Tesouro Prefixado,2025-01-01,2020-11-09,766,4.147945205479452
Tesouro Prefixado,2025-01-01,2020-11-10,766,4.145205479452055
Tesouro Prefixado,2025-01-01,2020-11-11,760,4.142465753424657
Tesouro Prefixado,2025-01-01,2020-11-12,760,4.13972602739726
Tesouro Prefixado,2025-01-01,2020-11-13,755,4.136986301369863
Tesouro Prefixado,2025-01-01,2020-11-16,761,4.1287671232876715
Tesouro Prefixado,2025-01-01,2020-11-17,759,4.126027397260274
Tesouro Prefixado,2025-01-01,2020-11-18,760,4.123287671232877
Tesouro Prefixado,2025-01-01,2020-11-19,754,4.120547945205479
Tesouro Prefixado,2025-01-01,2020-11-20,756,4.117808219178082
Tesouro Prefixado,2025-01-01,2020-11-23,752,4.109589041095891
Tesouro Prefixado,2025-01-01,2020-11-24,748,4.1068493150684935
Tesouro Prefixado,2025-01-01,2020-11-25,751,4.104109589041096
Tesouro Prefixado,2025-01-01,2020-11-26,751,4.101369863013699
Tesouro Prefixado,2025-01-01,2020-11-27,758,4.098630136986301
Tesouro Prefixado,2025-01-01,2020-11-30,761,4.090410958904109
Tesouro Prefixado,2025-01-01,2020-12-01,760,4.087671232876712
Tesouro Prefixado,2025-01-01,2020-12-02,766,4.0849315068493155
Tesouro Prefixado,2025-01-01,2020-12-03,770,4.082191780821918
Tesouro Prefixado,2025-01-01,2020-12-04,777,4.079452054794521
Tesouro Prefixado,2025-01-01,2020-12-07,778,4.071232876712329
Tesouro Prefixado,2025-01-01,2020-12-08,778,4.068493150684931
Tesouro Prefixado,2025-01-01,2020-12-09,782,4.065753424657534
Tesouro Prefixado,2025-01-01,2020-12-10,781,4.063013698630137
Tesouro Prefixado,2025-01-01,2020-12-11,781,4.06027397260274
Tesouro Prefixado,2025-01-01,2020-12-14,787,4.052054794520548
