"Date","Price","Open","High","Low","Change %"
"Jun 24, 2019","111.289","110.991","111.818","110.991","0.24%"
"Jun 23, 2019","111.028","111.053","111.086","110.925","0.06%"
"Jun 21, 2019","110.963","111.234","111.627","110.746","-0.34%"
"Jun 20, 2019","111.344","110.298","111.635","109.854","1.43%"
"Jun 19, 2019","109.777","108.729","109.854","108.180","1.05%"
"Jun 18, 2019","108.640","108.087","109.272","108.087","0.42%"
"Jun 17, 2019","108.190","107.914","108.251","107.607","0.24%"
"Jun 16, 2019","107.930","108.188","108.188","107.930","-0.20%"
"Jun 14, 2019","108.151","108.311","108.649","108.082","0.02%"
"Jun 13, 2019","108.128","107.797","108.209","107.777","0.40%"
"Jun 12, 2019","107.692","107.344","107.856","106.987","0.39%"
"Jun 11, 2019","107.277","107.271","107.382","106.670","0.00%"
"Jun 10, 2019","107.275","107.870","107.870","107.107","-0.48%"
"Jun 09, 2019","107.796","107.756","107.828","107.756","-0.35%"
"Jun 07, 2019","108.177","107.039","108.235","106.911","1.76%"
"Jun 06, 2019","106.305","105.939","107.024","105.939","0.43%"
"Jun 05, 2019","105.846","106.289","106.629","105.605","-0.43%"
"Jun 04, 2019","106.305","107.275","107.291","106.149","-0.91%"
"Jun 03, 2019","107.277","106.804","107.587","106.669","0.39%"
"Jun 02, 2019","106.860","106.840","106.862","106.840","0.10%"
"May 31, 2019","106.752","106.400","107.010","105.842","0.81%"
"May 30, 2019","105.895","104.269","106.087","104.124","1.17%"
"May 29, 2019","104.667","105.614","106.417","104.277","-0.89%"
"May 28, 2019","105.612","105.027","105.700","104.973","0.42%"
"May 27, 2019","105.166","104.720","105.254","104.720","0.43%"
"May 26, 2019","104.720","104.720","104.720","104.720","0.00%"
"May 24, 2019","104.720","105.141","105.373","104.647","-0.83%"
"May 23, 2019","105.600","104.438","105.600","104.438","1.26%"
"May 22, 2019","104.283","104.561","105.070","103.855","-0.29%"
"May 21, 2019","104.587","104.514","104.615","103.577","0.09%"
"May 20, 2019","104.494","105.204","105.601","104.428","-0.73%"
"May 19, 2019","105.260","105.276","105.291","105.260","-0.42%"
"May 17, 2019","105.703","105.489","106.030","104.910","0.28%"
"May 16, 2019","105.412","105.540","105.818","105.039","-0.03%"
"May 15, 2019","105.446","105.239","105.844","105.100","0.34%"
"May 14, 2019","105.093","105.021","105.171","104.508","0.14%"
"May 13, 2019","104.942","105.319","105.736","104.759","-0.39%"
